order_id,customer_id,order_date,ship_date,status,total_amount,discount_pct
ORD-000001,370,2024-08-22,,pending,547.2,0
ORD-000002,439,2025-07-22,2025-07-29,delivered,400.17,20
ORD-000003,413,2024-06-02,2024-06-03,delivered,361.45,5
ORD-000004,265,2024-05-17,2024-05-26,returned,1443.92,20
ORD-000005,129,2025-05-13,2025-05-22,shipped,1718.42,0
ORD-000006,354,2025-02-11,,pending,335.05,0
ORD-000007,430,2024-09-17,2024-09-19,delivered,905.21,0
ORD-000008,185,2024-09-23,2024-10-02,shipped,1119.41,20
ORD-000009,11,2024-09-20,2024-09-27,shipped,251.26,20
ORD-000010,102,2025-11-26,,cancelled,1157.94,15
ORD-000011,90,2025-10-26,,cancelled,1958.95,0
ORD-000012,345,2024-12-29,2025-01-07,shipped,980.11,15
ORD-000013,196,2025-04-02,,pending,1231.19,5
ORD-000014,445,2025-10-08,,paid,343.48,20
ORD-000015,324,2024-12-11,2024-12-21,delivered,1147.56,20
ORD-000016,83,2024-03-14,,pending,693.81,0
ORD-000017,150,2024-11-20,2024-11-25,returned,1214.72,5
ORD-000018,400,2024-10-04,2024-10-10,delivered,1498.31,10
ORD-000019,86,2025-04-06,2025-04-09,delivered,1709.88,0
ORD-000020,129,2024-08-28,2024-08-30,returned,429.04,5
ORD-000021,33,2024-04-15,,pending,1874.22,5
ORD-000022,14,2025-07-15,,pending,1544.16,10
ORD-000023,135,2024-03-26,,pending,1240.02,0
ORD-000024,159,2025-11-01,2025-11-05,delivered,502.32,0
ORD-000025,65,2025-03-29,2025-04-01,returned,1058.22,0
ORD-000026,340,2024-01-30,,pending,720.11,0
ORD-000027,500,2025-05-02,2025-05-11,delivered,1870.37,10
ORD-000028,497,2025-03-31,,paid,1897.49,10
ORD-000029,306,2024-06-30,,cancelled,918.52,15
ORD-000030,223,2025-10-13,,cancelled,1051.69,15
ORD-000031,466,2025-06-30,2025-07-06,shipped,968.49,0
ORD-000032,158,2024-04-01,2024-04-07,delivered,830.29,0
ORD-000033,1,2024-11-06,,pending,1051.4,20
ORD-000034,147,2024-05-19,2024-05-27,shipped,1074.85,15
ORD-000035,154,2025-05-18,2025-05-19,delivered,1534.08,20
ORD-000036,119,2024-10-26,,cancelled,1595.57,10
ORD-000037,211,2025-01-17,,paid,1765.5,5
ORD-000038,84,2025-02-08,,paid,1432.73,15
ORD-000039,113,2025-02-03,2025-02-08,delivered,167.63,15
ORD-000040,392,2024-09-02,,cancelled,1601.92,10
ORD-000041,140,2025-12-11,2025-12-16,returned,1300.43,10
ORD-000042,97,2024-10-02,2024-10-04,delivered,372.99,0
ORD-000043,234,2024-04-23,2024-05-03,returned,911.01,15
ORD-000044,97,2025-09-29,2025-10-05,delivered,48.6,0
ORD-000045,96,2025-07-01,,pending,1944.94,0
ORD-000046,367,2024-10-02,,paid,882.45,0
ORD-000047,78,2024-08-26,,pending,39.3,0
ORD-000048,160,2024-12-16,2024-12-24,delivered,1995.95,5
ORD-000049,170,2025-12-14,,pending,169.64,20
ORD-000050,137,2024-05-29,,pending,1553.55,0
ORD-000051,93,2025-07-10,2025-07-14,delivered,1792.44,0
ORD-000052,63,2025-01-25,,pending,1949.45,15
ORD-000053,395,2024-09-11,2024-09-19,delivered,501.85,0
ORD-000054,377,2024-07-22,2024-07-24,delivered,1047.07,0
ORD-000055,349,2025-04-29,2025-05-04,delivered,1873.07,0
ORD-000056,22,2025-10-06,2025-10-15,returned,1046.64,0
ORD-000057,153,2025-05-07,2025-05-11,returned,727.25,0
ORD-000058,499,2025-11-13,,paid,234.73,15
ORD-000059,8,2025-03-20,2025-03-23,shipped,1590.84,10
ORD-000060,405,2024-05-02,2024-05-06,delivered,27.77,0
ORD-000061,244,2025-08-18,2025-08-28,returned,318.43,20
ORD-000062,81,2024-04-01,,paid,1004.84,15
ORD-000063,477,2025-09-25,2025-09-26,shipped,128.95,15
ORD-000064,275,2024-06-06,2024-06-08,returned,260.4,0
ORD-000065,404,2024-11-20,,cancelled,1292.85,0
ORD-000066,99,2025-03-25,2025-03-26,returned,1381.61,0
ORD-000067,461,2024-05-17,2024-05-18,shipped,975.75,5
ORD-000068,278,2025-07-26,2025-08-03,shipped,387.65,0
ORD-000069,166,2025-07-10,2025-07-18,shipped,557.9,20
ORD-000070,83,2025-09-05,,cancelled,147.06,0
ORD-000071,420,2025-04-05,2025-04-10,shipped,1087.8,5
ORD-000072,260,2024-01-01,2024-01-08,returned,1469.98,0
ORD-000073,398,2025-09-26,2025-10-06,shipped,485.19,15
ORD-000074,496,2024-03-05,2024-03-14,returned,1639.91,0
ORD-000075,255,2025-06-20,2025-06-29,returned,316.72,0
ORD-000076,329,2024-11-26,2024-12-02,delivered,229.82,10
ORD-000077,23,2025-11-05,,pending,1672.03,0
ORD-000078,104,2024-07-01,,pending,223.04,0
ORD-000079,293,2024-04-11,,pending,1287.09,5
ORD-000080,270,2025-11-04,2025-11-14,delivered,1405.61,0
ORD-000081,114,2024-02-20,2024-03-01,shipped,1438.51,0
ORD-000082,252,2024-08-01,2024-08-03,returned,941.44,15
ORD-000083,286,2024-03-03,2024-03-10,shipped,1645.83,20
ORD-000084,422,2025-12-26,,pending,1237.7,10
ORD-000085,37,2024-02-11,2024-02-16,returned,165.09,0
ORD-000086,52,2025-06-15,,pending,1453.09,10
ORD-000087,99,2025-01-29,,paid,1057.12,0
ORD-000088,486,2025-08-06,2025-08-09,returned,1121.26,10
ORD-000089,55,2025-03-01,2025-03-11,returned,722.35,5
ORD-000090,219,2025-12-20,2025-12-22,returned,341.95,0
ORD-000091,259,2025-07-17,2025-07-23,delivered,1318.49,10
ORD-000092,478,2025-09-06,2025-09-12,delivered,1805.95,10
ORD-000093,212,2024-11-28,2024-12-05,shipped,1654.05,0
ORD-000094,289,2025-09-15,,paid,1095.8,5
ORD-000095,131,2025-07-17,2025-07-23,returned,1923.69,5
ORD-000096,372,2025-02-10,,pending,78.98,0
ORD-000097,266,2025-09-02,,pending,278.82,0
ORD-000098,114,2024-01-07,2024-01-11,shipped,1712.88,0
ORD-000099,471,2025-12-07,2025-12-16,shipped,1027.43,10
ORD-000100,49,2025-08-08,,paid,85.1,0
ORD-000101,136,2024-06-08,,paid,740.49,10
