order_id,customer_id,order_date,ship_date,status,total_amount,discount_pct
ORD-000001,353,2025-12-08,2025-12-18,delivered,318.43,20
ORD-000002,81,2024-04-01,,paid,1004.84,15
ORD-000003,477,2025-09-25,2025-09-26,shipped,128.95,15
ORD-000004,275,2024-06-06,2024-06-08,returned,260.4,0
ORD-000005,404,2024-11-20,,cancelled,1292.85,0
ORD-000006,99,2025-03-25,2025-03-26,returned,1381.61,0
ORD-000007,461,2024-05-17,2024-05-18,shipped,975.75,5
ORD-000008,278,2025-07-26,2025-08-03,shipped,387.65,0
ORD-000009,166,2025-07-10,2025-07-18,shipped,557.9,20
ORD-000010,83,2025-09-05,,cancelled,147.06,0
ORD-000011,420,2025-04-05,2025-04-10,shipped,1087.8,5
ORD-000012,260,2024-01-01,2024-01-08,returned,1469.98,0
ORD-000013,398,2025-09-26,2025-10-06,shipped,485.19,15
ORD-000014,496,2024-03-05,2024-03-14,returned,1639.91,0
ORD-000015,255,2025-06-20,2025-06-29,returned,316.72,0
ORD-000016,329,2024-11-26,2024-12-02,delivered,229.82,10
ORD-000017,23,2025-11-05,,pending,1672.03,0
ORD-000018,104,2024-07-01,,pending,223.04,0
ORD-000019,293,2024-04-11,,pending,1287.09,5
ORD-000020,270,2025-11-04,2025-11-14,delivered,1405.61,0
ORD-000021,114,2024-02-20,2024-03-01,shipped,1438.51,0
ORD-000022,252,2024-08-01,2024-08-03,returned,941.44,15
ORD-000023,286,2024-03-03,2024-03-10,shipped,1645.83,20
ORD-000024,422,2025-12-26,,pending,1237.7,10
ORD-000025,37,2024-02-11,2024-02-16,returned,165.09,0
ORD-000026,52,2025-06-15,,pending,1453.09,10
ORD-000027,99,2025-01-29,,paid,1057.12,0
ORD-000028,486,2025-08-06,2025-08-09,returned,1121.26,10
ORD-000029,55,2025-03-01,2025-03-11,returned,722.35,5
ORD-000030,219,2025-12-20,2025-12-22,returned,341.95,0
ORD-000031,259,2025-07-17,2025-07-23,delivered,1318.49,10
ORD-000032,478,2025-09-06,2025-09-12,delivered,1805.95,10
ORD-000033,212,2024-11-28,2024-12-05,shipped,1654.05,0
ORD-000034,289,2025-09-15,,paid,1095.8,5
ORD-000035,131,2025-07-17,2025-07-23,returned,1923.69,5
ORD-000036,372,2025-02-10,,pending,78.98,0
ORD-000037,266,2025-09-02,,pending,278.82,0
ORD-000038,505,2024-01-07,2024-01-11,shipped,437.5,0
ORD-000039,422,2024-01-23,2024-01-28,returned,1839.03,10
ORD-000040,475,2025-07-23,,cancelled,1147.51,0
ORD-000041,183,2024-02-08,2024-02-11,delivered,285.43,0
ORD-000042,120,2025-08-19,,paid,519.93,0
ORD-000043,205,2024-04-04,,cancelled,1142.44,0
ORD-000044,167,2024-03-20,2024-03-28,returned,354.08,20
ORD-000045,296,2025-12-07,2025-12-09,returned,1194.51,0
ORD-000046,414,2024-02-08,2024-02-18,returned,769.28,20
ORD-000047,179,2024-02-27,2024-03-05,shipped,838.88,20
ORD-000048,383,2024-05-03,,paid,1309.03,10
ORD-000049,399,2024-01-12,2024-01-19,returned,117.71,10
ORD-000050,277,2024-02-12,2024-02-22,shipped,307.66,10
ORD-000051,79,2025-12-15,,paid,110.53,15
ORD-000052,386,2025-02-06,2025-02-16,delivered,1154.76,0
ORD-000053,149,2024-08-15,2024-08-22,delivered,304.54,0
ORD-000054,293,2024-03-25,2024-03-26,delivered,1100.82,0
ORD-000055,257,2024-03-28,2024-04-04,delivered,1549.91,0
ORD-000056,287,2024-05-18,2024-05-22,delivered,980.84,15
ORD-000057,288,2026-12-26,,paid,1235.83,15
ORD-000058,125,2025-06-20,,paid,152.57,20
ORD-000059,351,2025-03-16,2025-03-26,shipped,188.29,15
ORD-000060,188,2025-02-27,2025-03-05,delivered,389.07,0
ORD-000061,13,2025-08-31,2025-09-05,returned,346.82,0
ORD-000062,320,2025-09-23,2025-09-26,delivered,886.52,20
ORD-000063,351,2024-08-27,,paid,753.9,20
ORD-000064,379,2024-03-28,,pending,118.53,10
ORD-000065,8,2024-05-31,2024-06-06,shipped,1390.65,0
ORD-000066,242,2024-11-08,2024-11-09,delivered,670.43,15
ORD-000067,105,2025-07-04,,paid,1097.38,20
ORD-000068,248,2024-09-21,,cancelled,1249.85,0
ORD-000069,343,2025-12-12,2025-12-13,returned,759.45,15
ORD-000070,131,2025-06-23,,pending,348.94,0
ORD-000071,317,2024-07-24,2024-07-29,returned,115.64,15
ORD-000072,199,2024-01-09,,pending,1324.14,15
ORD-000073,443,2025-11-06,2025-11-08,shipped,47.97,20
ORD-000074,119,2025-10-26,2025-11-02,delivered,1022.0,15
ORD-000075,249,2024-04-11,2024-04-21,shipped,1067.81,0
ORD-000076,495,2024-07-22,,cancelled,921.39,15
ORD-000077,127,2024-01-23,,pending,1845.32,0
ORD-000078,202,2024-12-07,2024-12-10,delivered,46.56,15
ORD-000079,321,2024-12-26,2024-12-31,shipped,480.05,10
ORD-000080,321,2024-10-09,,pending,522.78,5
ORD-000081,486,2024-01-31,,cancelled,567.59,0
ORD-000082,337,2024-12-15,2024-12-18,delivered,184.71,5
ORD-000083,314,2025-06-17,2025-06-21,returned,840.49,10
ORD-000084,497,2024-06-05,2024-06-10,delivered,1820.37,0
ORD-000085,68,2025-04-04,,cancelled,421.45,0
ORD-000086,351,2025-08-17,,cancelled,1602.21,20
ORD-000087,353,2024-05-21,2024-05-30,shipped,1820.03,5
ORD-000088,478,2024-05-28,2024-06-07,returned,1835.05,0
ORD-000089,273,2024-03-10,,cancelled,1897.72,0
ORD-000090,430,2024-07-07,2024-07-10,shipped,1456.89,20
