product_id,name,category,price,cost,stock_quantity,currency,active
SKU-0001,Toys item 1,Toys,812.59,479.92,187,USD,true
SKU-0002,Grocery item 2,,263.59,999.00,386,USD,true
SKU-0003,Clothing item 3,Clothing,394.03,296.59,247,USD,true
SKU-0004,Books item 4,Books,353.28,229.53,129,USD,true
SKU-0005,Toys item 5,Toys,549.82,411.48,203,USD,true
SKU-0006,Books item 6,Books,812.61,999.00,382,USD,true
SKU-0007,Clothing item 7,Clothing,425.65,304.21,82,,true
SKU-0008,Home & Kitchen item 8,Home & Kitchen,205.70,119.36,173,USD,true
SKU-0009,Automotive item 9,Automotive,584.29,413.71,26,USD,true
SKU-0010,Books item 10,Books,371.18,254.68,411,USD,true
SKU-0011,Home & Kitchen item 11,Home & Kitchen,782.53,479.10,307,USD,true
SKU-0012,Beauty item 12,Beauty,86.01,44.59,189,USD,true
SKU-0013,Home & Kitchen item 13,Home & Kitchen,579.55,420.77,476,USD,true
SKU-0014,Beauty item 14,Beauty,584.23,370.67,364,USD,true
SKU-0015,Grocery item 15,Grocery,56.95,42.61,89,USD,true
SKU-0016,Garden item 16,Home and Kitchen,418.43,205.35,336,USD,true
SKU-0017,Automotive item 17,Automotive,273.49,113.53,306,USD,true
SKU-0018,Automotive item 18,Automotive,491.23,247.70,86,USD,true
SKU-0019,Electronics item 19,Electronics,343.35,238.55,499,USD,true
SKU-0020,Books item 20,Books,84.78,44.44,204,USD,true
SKU-0021,Sports item 21,Sports,637.00,371.02,102,USD,true
SKU-0022,Automotive item 22,,17.06,12.23,470,USD,true
SKU-0023,Home & Kitchen item 23,Home & Kitchen,523.24,380.27,286,USD,true
SKU-0024,Grocery item 24,Grocery,332.32,276.98,141,USD,true
SKU-0025,Clothing item 25,Clothing,577.03,281.32,476,USD,true
SKU-0026,Beauty item 26,Beauty,547.22,283.19,208,GBP,true
SKU-0027,Automotive item 27,Automotive,103.38,44.72,150,USD,true
SKU-0028,Sports item 28,Sports,899.80,685.04,489,USD,true
SKU-0029,Toys item 29,Toys,832.62,637.72,294,USD,true
SKU-0030,Toys item 30,Toys,660.25,551.13,288,USD,true
SKU-0031,Garden item 31,Garden,732.04,542.34,492,USD,true
SKU-0032,Garden item 32,Garden,648.31,999.00,441,USD,true
SKU-0033,Electronics item 33,Electronics,-19.99,236.94,195,USD,true
SKU-0034,Clothing item 34,Clothing,643.88,324.17,161,USD,true
SKU-0035,Beauty item 35,Beauty,907.78,574.10,4,USD,true
SKU-0036,Toys item 36,,237.72,105.04,344,USD,true
SKU-0037,Sports item 37,Sports,74.54,61.06,243,USD,true
SKU-0038,Sports item 38,Sports,337.48,270.81,137,USD,true
SKU-0039,Books item 39,Books,0.01,636.58,465,USD,true
SKU-0040,Clothing item 40,Clothing,475.30,232.83,376,USD,true
SKU-0041,Clothing item 41,Clothing,829.42,408.95,103,USD,true
SKU-0042,Clothing item 42,Clothing,794.93,445.33,398,USD,true
SKU-0043,Home & Kitchen item 43,Home & Kitchen,116.08,50.53,489,USD,true
SKU-0044,Garden item 44,Garden,584.10,434.52,277,USD,true
SKU-0045,Electronics item 45,Electronics,805.99,457.03,161,USD,true
SKU-0046,Garden item 46,Garden,853.47,679.74,294,USD,true
SKU-0047,Toys item 47,Toys,467.54,394.13,468,EUR,true
SKU-0048,Automotive item 48,Automotive,268.05,134.01,295,USD,true
SKU-0049,Books item 49,Books,53.81,40.88,244,USD,true
SKU-0050,Automotive item 50,Automotive,33.35,18.55,440,USD,true
SKU-0051,Books item 51, Books ,435.69,197.88,265,USD,true
SKU-0052,Garden item 52,Garden,301.58,121.77,345,USD,true
SKU-0053,Clothing item 53,Clothing,362.01,161.22,185,USD,true
SKU-0054,Grocery item 54,Grocery,819.10,396.62,134,USD,true
SKU-0055,Clothing item 55,Clothing,257.76,214.29,175,USD,true
SKU-0056,Sports item 56,Sports,176.76,104.43,214,USD,true
SKU-0057,Sports item 57,Sports,348.41,202.17,230,USD,true
SKU-0058,Books item 58,Books,543.91,457.25,351,USD,true
SKU-0059,Clothing item 59,Clothing,773.95,560.62,411,USD,true
SKU-0060,Clothing item 60,Clothing,528.68,415.19,100,USD,true
SKU-0061,Books item 61,Books,760.54,556.98,242,USD,true
SKU-0062,Electronics item 62,Electronics,0.00,106.12,457,USD,true
SKU-0063,Automotive item 63,Automotive,508.45,275.62,249,USD,true
SKU-0064,Toys item 64,Toys,240.30,188.95,24,USD,true
SKU-0065,Beauty item 65,Beauty,96.28,45.59,110,USD,true
SKU-0066,Toys item 66,Toys,454.02,310.29,230,USD,true
